MemTotal:        1027196 kB
MemFree:          315768 kB
Buffers:           16036 kB
Cached:           306944 kB
SwapCached:            0 kB
Active:           234952 kB
Inactive:         251836 kB
Active(anon):     163824 kB
Inactive(anon):      320 kB
Active(file):      71128 kB
Inactive(file):   251516 kB
Unevictable:           0 kB
Mlocked:               0 kB
HighTotal:        270336 kB
HighFree:          29752 kB
LowTotal:         756860 kB
LowFree:          286016 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        163800 kB
Mapped:            87400 kB
Shmem:               356 kB
Slab:             133824 kB
SReclaimable:      78836 kB
SUnreclaim:        54988 kB
KernelStack:        4680 kB
PageTables:         6188 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      513596 kB
Committed_AS:   14084476 kB
VmallocTotal:     245760 kB
VmallocUsed:       41796 kB
VmallocChunk:     152452 kB
